"Quantity","RefDes","Value","Name"
"7","C1, C12, C13, C16, C18, C21, C42","1u","C-USC0402 (C-US)"
"25","C2, C3, C5, C6, C7, C8, C14, C15, C17, C22, C23, C30, C33, C34, C35, C43, C44, C45, C48, C49, C51, C52, C53, C54, C55","100n","C-USC0402 (C-US)"
"2","C4, C11","20p","C-USC0402 (C-US)"
"4","C9, C10, C29, C50","10u","CPOL-USA (CPOL-US)"
"3","C19, C20, C25","22u","C-USC1206 (C-US)"
"2","C24, C26","22u","CPOL-USB (CPOL-US)"
"3","C27, C31, C36","100p","C-USC0402 (C-US)"
"6","C28, C32, C41, C46, C47, C56","1.0n","C-USC0402 (C-US)"
"4","C37, C38, C39, C40","47p","C-USC0402 (C-US)"
"1","D2","BAT54S","DIODE_2CACA-SOT23 (DIODE_2CACA-)"
"8","D4, D5, D6, D7, D8, D9, D10, D11","","TVS"
"1","D12","MB1S","MB1S"
"5","D13, D15, D17, D19, D21","red","LED 0603"
"5","D14, D16, D18, D20, D22","green","LED 0603"
"1","IC1","STM32F373CCT6","STM32F373C"
"1","IC2","","4051PW (4051)"
"1","IC3","R-78E3.3-0.5","WE173950378"
"1","IC4","DAC8164ICPW","DAC8564"
"1","IC5","LD2981ABU33","LD2981ABU (LD2981)"
"2","IC6, IC7","MCP6004","TL074PW (TL074)"
"3","IC8, IC9, IC11","TLV4172","TL074PW (TL074)"
"1","IC10","LM4040B10","LM4041DBZB12 (LM4041)"
"12","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12","","PJ301_THONKICONN6 (PJ301_THONKICONN)"
"1","JP5","M05X2PTH","M05X2PTH"
"1","JP6","","M04PTH (M04)"
"1","JP7","","M02PTH (M02)"
"1","L1","33u","L-USL2012C (L-US)"
"3","L2, L3, L4","","WE-CBF_0603 (WE-CBF)"
"3","LED1, LED2, LED3","W115WSURKMGKW","LED-BICOLOR-THROUGHHOLE2.54 (LED-BICOLOR-THROUGHHOLE)"
"4","LED4, LED5, LED6, LED7","3BC-F","LED-BICOLOR-SHARED-THROUGHHOLE"
"1","Q1","8MHz","CRYSTAL"
"3","R1, R7, R13","2.4k","R-US_R0402 (R-US_)"
"4","R2, R6, R10, R46","1.5k","R-US_R0402 (R-US_)"
"4","R3, R61, R62, R63","10k","R-US_R0402 (R-US_)"
"4","R4, R5, R8, R9","100","R-US_R0402 (R-US_)"
"5","R11, R12, R22, R23, R24","10kB","POT_USVERTICAL_PS (POT_US)"
"7","R14, R28, R37, R38, R39, R40, R42","130k","R-US_R0402 (R-US_)"
"9","R15, R16, R17, R29, R30, R35, R36, R54, R55","100k","R-US_R0402 (R-US_)"
"9","R18, R19, R27, R31, R32, R33, R34, R41, R52","20k","R-US_R0402 (R-US_)"
"5","R20, R21, R25, R43, R51","120k","R-US_R0402 (R-US_)"
"2","R26, R44","390k","R-US_R0402 (R-US_)"
"4","R45, R47, R48, R49","1.0k","R-US_R0603 (R-US_)"
"1","R50","140k","R-US_R0402 (R-US_)"
"1","R53","33k","R-US_R0402 (R-US_)"
"5","R56, R57, R58, R59, R60","10kB","POT_USVERTICAL (POT_US)"
"9","R64, R65, R66, R67, R68, R69, R70, R71, R72","1.0k","R-US_R0402 (R-US_)"
"3","SW1, SW2, SW3","","TAC_SWITCHPTH (TAC_SWITCH)"
"1","U1","","LM321MF"
"190","","",""
